Index	 Precision	 Recall	 F1-score
749	 1.00	 1.00	 1.00
750	 1.00	 1.00	 1.00
751	 1.00	 1.00	 1.00
752	 1.00	 1.00	 1.00
753	 1.00	 1.00	 1.00
754	 0.97	 0.97	 0.97
755	 1.00	 1.00	 1.00
756	 1.00	 1.00	 1.00
757	 1.00	 1.00	 1.00
758	 1.00	 1.00	 1.00
759	 1.00	 1.00	 1.00
760	 0.98	 0.98	 0.98
761	 1.00	 1.00	 1.00
762	 1.00	 1.00	 1.00
763	 1.00	 1.00	 1.00
764	 1.00	 1.00	 1.00
765	 1.00	 1.00	 1.00
766	 1.00	 1.00	 1.00
767	 1.00	 1.00	 1.00
768	 0.97	 0.93	 0.95
769	 0.98	 0.95	 0.96
770	 1.00	 1.00	 1.00
771	 1.00	 1.00	 1.00
772	 1.00	 1.00	 1.00
773	 1.00	 1.00	 1.00
774	 1.00	 1.00	 1.00
775	 0.98	 0.96	 0.97
776	 1.00	 1.00	 1.00
777	 1.00	 1.00	 1.00
778	 0.98	 0.96	 0.97
779	 0.94	 0.93	 0.93
780	 1.00	 1.00	 1.00
781	 0.95	 0.94	 0.95
782	 1.00	 1.00	 1.00
783	 1.00	 1.00	 1.00
784	 1.00	 1.00	 1.00
785	 0.88	 0.88	 0.88
786	 0.96	 0.93	 0.94
787	 0.95	 0.91	 0.93
788	 1.00	 1.00	 1.00
789	 1.00	 1.00	 1.00
790	 1.00	 1.00	 1.00
791	 1.00	 1.00	 1.00
792	 1.00	 1.00	 1.00
793	 1.00	 1.00	 1.00
794	 1.00	 1.00	 1.00
795	 1.00	 1.00	 1.00
796	 1.00	 1.00	 1.00
797	 0.75	 0.60	 0.67
798	 1.00	 1.00	 1.00
799	 1.00	 1.00	 1.00
800	 1.00	 1.00	 1.00
801	 1.00	 1.00	 1.00
802	 1.00	 1.00	 1.00
803	 1.00	 1.00	 1.00
